Number Atom1 Atom2 Type Polymeric Cyclicity Length SybylType
116 Cu1 S1 Unknown yes cyclic 2.3113 un
117 Cu2 Cu21 Unknown no cyclic 1.027 un
118 Cu2 S1 Unknown no cyclic 2.216 1
119 Cu2 Cu21 Unknown no cyclic 1.027 un
120 Cu2 Cu21 Unknown no cyclic 2.738 un
121 Cu2 Cu21 Unknown no cyclic 2.738 un
122 Cu2 Cu21 Unknown no cyclic 2.738 un
123 Cu21 S1 Unknown no cyclic 2.459(5) 1
124 Cu21 Cu21 Unknown no cyclic 2.054(7) un
125 Cu21 Cu2 Unknown no cyclic 2.738 un
126 Cu21 Cu21 Unknown no cyclic 2.060(7) un
127 Cu21 As1 Unknown yes cyclic 2.457(5) un
128 Cu1 S1 Unknown yes cyclic 2.3113 un
129 Cu1 S1 Unknown yes cyclic 2.3113 un
130 Cu1 S1 Unknown yes cyclic 2.3113 un
131 Cu2 Cu21 Unknown no cyclic 1.027 un
132 Cu2 S1 Unknown no cyclic 2.216 1
133 Cu2 Cu21 Unknown no cyclic 2.738 un
134 Cu2 Cu21 Unknown no cyclic 2.738 un
135 Cu2 Cu21 Unknown no cyclic 1.027 un
136 Cu2 Cu21 Unknown no cyclic 2.738 un
137 Cu2 Cu21 Unknown no cyclic 2.738 un
138 Cu21 S1 Unknown no cyclic 2.459(5) 1
139 Cu21 Cu21 Unknown no cyclic 2.060(7) un
140 Cu21 Cu21 Unknown no cyclic 2.054(7) un
141 Cu21 Cu2 Unknown no cyclic 2.738 un
142 Cu21 Cu21 Unknown no cyclic 2.060(7) un
143 Cu21 As1 Unknown yes cyclic 2.457(5) un
144 S1 As1 Unknown no cyclic 2.2435(8) 1
145 S1 Cu1 Unknown no cyclic 2.3113 1
146 S1 Cu21 Unknown no cyclic 2.459(5) 1
147 S1 Cu1 Unknown yes acyclic 2.3113 1
148 As1 S1 Unknown no cyclic 2.2435(8) 1
149 As1 S1 Unknown no cyclic 2.2435(8) 1
150 As1 Cu21 Unknown yes cyclic 2.457(5) un
151 As1 Cu21 Unknown yes cyclic 2.457(5) un
152 As1 Cu21 Unknown yes cyclic 2.457(5) un
153 S1 Cu21 Unknown no cyclic 2.459(5) 1
154 S1 Cu1 Unknown yes cyclic 2.3113 1
155 S1 Cu1 Unknown yes acyclic 2.3113 1
156 S1 Cu2 Unknown no cyclic 2.216 1
157 S1 Cu21 Unknown no cyclic 2.459(5) 1
158 S1 Cu21 Unknown no cyclic 2.459(5) 1
159 S1 Cu1 Unknown yes acyclic 2.3113 1
160 S1 Cu1 Unknown yes acyclic 2.3113 1
161 Cu1 S1 Unknown yes cyclic 2.3113 un
162 Cu1 S1 Unknown yes cyclic 2.3113 un
163 Cu1 S1 Unknown yes cyclic 2.3113 un
164 Cu21 Cu2 Unknown no cyclic 2.738 un
165 Cu21 Cu21 Unknown no cyclic 2.060(7) un
166 Cu21 As1 Unknown yes cyclic 2.457(5) un
167 Cu1 S1 Unknown yes cyclic 2.3113 un
168 Cu1 S1 Unknown yes cyclic 2.3113 un
169 Cu1 S1 Unknown yes cyclic 2.3113 un
170 Cu21 Cu21 Unknown no cyclic 2.060(7) un
171 Cu21 Cu2 Unknown no cyclic 2.738 un
172 Cu21 Cu21 Unknown no cyclic 2.060(7) un
173 Cu21 As1 Unknown yes cyclic 2.457(5) un
174 Cu21 Cu2 Unknown no cyclic 2.738 un
175 Cu21 Cu21 Unknown no cyclic 2.060(7) un
176 Cu21 As1 Unknown yes cyclic 2.457(5) un
177 Cu2 Cu21 Unknown no cyclic 1.027 un
178 Cu2 Cu21 Unknown no cyclic 1.027 un
179 Cu21 Cu21 Unknown no cyclic 2.054(7) un
180 Cu21 As1 Unknown yes cyclic 2.457(5) un
181 Cu2 Cu21 Unknown no cyclic 1.027 un
182 Cu2 Cu21 Unknown no cyclic 1.027 un
183 Cu21 Cu21 Unknown no cyclic 2.054(7) un
184 Cu21 As1 Unknown yes cyclic 2.457(5) un
185 Cu21 As1 Unknown yes cyclic 2.457(5) un
186 Cu21 As1 Unknown yes cyclic 2.457(5) un
187 Cu21 Cu21 Unknown yes cyclic 2.060(7) un
188 Cu21 Cu21 Unknown yes cyclic 2.060(7) un
189 Cu21 Cu21 Unknown yes cyclic 2.060(7) un
190 Cu21 Cu21 Unknown yes cyclic 2.060(7) un
191 Cu21 Cu21 Unknown yes cyclic 2.060(7) un
192 Cu21 Cu21 Unknown yes cyclic 2.060(7) un
193 Cu21 Cu21 Unknown yes cyclic 2.060(7) un
194 Cu21 Cu21 Unknown yes cyclic 2.060(7) un
195 Cu21 S1 Unknown yes cyclic 2.459(5) un
196 Cu21 Cu21 Unknown yes cyclic 2.060(7) un
197 Cu21 Cu21 Unknown yes cyclic 2.060(7) un
198 Cu21 Cu21 Unknown yes cyclic 2.060(7) un
199 Cu21 Cu21 Unknown yes cyclic 2.060(7) un
200 Cu21 S1 Unknown yes cyclic 2.459(5) un
201 Cu21 S1 Unknown yes cyclic 2.459(5) un
202 Cu21 S1 Unknown yes cyclic 2.459(5) un
203 Cu21 S1 Unknown yes cyclic 2.459(5) un
204 Cu21 S1 Unknown yes cyclic 2.459(5) un
205 S1 Cu1 Unknown yes cyclic 2.3113 un
